,SMALL LoAC,ME1 AC2,ME1 AC3,ME1 AC4,SMALL HiAC,ME2 AC1,ME2 AC2,ME2 AC3,ME2 AC4,ME2 AC5,ME3 AC1,ME3 AC2,ME3 AC3,ME3 AC4,ME3 AC5,ME4 AC1,ME4 AC2,ME4 AC3,ME4 AC4,ME4 AC5,BIG LoAC,ME5 AC2,ME5 AC3,ME5 AC4,BIG HiAC
196307,-12.2876,-0.4996,2.2112,5.8324,32.6668,-10.6467,-0.4207,2.1572,5.7922,24.8599,-8.2977,-0.5951,2.1703,5.6186,23.0184,-7.8545,-0.5972,2.1507,5.9772,22.3344,-5.0768,-0.0526,2.1879,5.1782,30.3938
196308,-12.1209,-0.5056,2.224,5.8164,33.0197,-10.6369,-0.3958,2.1532,5.8123,24.736,-8.2816,-0.5942,2.161,5.5893,22.9093,-7.6991,-0.6051,2.1531,5.9895,22.4925,-5.0788,-0.0485,2.1887,5.1681,30.4773
196309,-12.1992,-0.4879,2.233,5.8209,31.7843,-10.6783,-0.408,2.1621,5.8506,24.9704,-8.2582,-0.5982,2.141,5.5806,22.7798,-7.6136,-0.6007,2.138,5.9921,22.8493,-5.0667,-0.048,2.1967,5.1858,30.4828
196310,-12.3642,-0.4877,2.2149,5.8286,31.2863,-10.7655,-0.3951,2.1638,5.849,24.8229,-8.1458,-0.6016,2.1513,5.6125,22.3333,-7.4238,-0.5975,2.1529,6.0001,22.8859,-5.0591,-0.0505,2.1919,5.1845,31.0246
196311,-12.4481,-0.4782,2.2071,5.8364,31.2728,-11.1275,-0.4111,2.1703,5.8556,24.6141,-8.1057,-0.5925,2.1276,5.6268,22.2733,-7.6138,-0.5925,2.1486,5.997,22.8637,-5.1327,-0.0593,2.2022,5.2058,31.0008
196312,-11.8698,-0.4845,2.2016,5.8473,31.0957,-10.9184,-0.4226,2.1585,5.8284,23.7046,-8.0675,-0.6,2.128,5.6351,21.9452,-7.6982,-0.5934,2.1417,5.9975,22.9288,-5.0955,-0.0606,2.2056,5.2026,30.8815
196401,-11.6625,-0.4743,2.2133,5.8611,30.732,-10.7742,-0.4071,2.163,5.8268,23.6531,-7.9827,-0.5931,2.1484,5.6358,22.1252,-7.5166,-0.5827,2.1278,6.007,22.7051,-5.0592,-0.0657,2.213,5.1752,31.0135
196402,-11.5836,-0.4825,2.2,5.8611,31.2647,-10.8554,-0.3968,2.1689,5.8178,23.0581,-7.8909,-0.5954,2.1477,5.6583,21.6505,-7.4065,-0.5885,2.1282,6.0031,23.0753,-5.0643,-0.068,2.2098,5.1701,31.5896
196403,-11.6302,-0.4781,2.1893,5.884,31.6382,-10.753,-0.396,2.1542,5.8505,23.317,-7.8182,-0.5914,2.132,5.667,21.4648,-7.3753,-0.595,2.1227,6.0399,23.1145,-5.0466,-0.079,2.2046,5.1762,31.355
196404,-11.5993,-0.4808,2.203,5.8882,29.5327,-10.8376,-0.4336,2.1659,5.8797,23.2104,-7.795,-0.5709,2.1718,5.6792,20.9316,-7.3542,-0.5948,2.1223,6.047,22.8293,-5.0308,-0.0858,2.2056,5.1706,30.9295
196405,-11.5438,-0.4647,2.2242,5.8648,29.764,-10.7384,-0.4513,2.1545,5.8686,22.665,-7.7085,-0.5682,2.1618,5.6477,21.1516,-7.4188,-0.5847,2.1235,6.0154,22.6205,-5.0512,-0.0725,2.1942,5.1385,31.1364
196406,-11.6609,-0.4701,2.2007,5.8651,29.3677,-10.6239,-0.4785,2.1526,5.8783,21.9461,-7.6502,-0.5647,2.1499,5.6679,20.7181,-7.3637,-0.5867,2.1225,6.0181,22.8804,-5.0538,-0.0814,2.196,5.1197,31.6808
196407,-15.9832,-0.6091,2.0631,6.0636,24.2671,-12.073,-0.3195,2.1036,5.5824,30.4293,-9.7539,-0.7305,2.6118,5.602,15.574,-8.2417,-0.2095,2.2722,5.5777,14.3832,-7.1242,-0.4923,1.9486,5.0975,22.6152
196408,-15.3437,-0.6106,2.0448,6.0682,23.7985,-11.6263,-0.305,2.1054,5.5769,30.3601,-9.8059,-0.7383,2.6065,5.5741,15.5814,-8.3155,-0.2177,2.2688,5.5774,14.3613,-7.1323,-0.4848,1.9386,5.0911,22.5245
196409,-15.1393,-0.6185,2.04,6.0687,23.8066,-11.4097,-0.2953,2.0936,5.57,30.8659,-9.8304,-0.7601,2.6012,5.5806,15.6041,-8.3291,-0.2175,2.2694,5.5761,14.396,-7.2287,-0.484,1.935,5.089,22.641
196410,-14.6308,-0.6159,2.0221,6.0845,23.8409,-11.4296,-0.2939,2.0709,5.5684,30.7994,-9.7964,-0.755,2.5966,5.577,15.6209,-8.4626,-0.235,2.253,5.5542,14.2907,-7.2553,-0.4784,1.937,5.089,22.4823
196411,-14.8873,-0.6074,2.0184,6.0849,24.2091,-11.2691,-0.2798,2.0879,5.555,30.864,-9.7138,-0.7292,2.5917,5.5644,15.6609,-8.4864,-0.2418,2.2493,5.5516,14.2803,-7.189,-0.4799,1.9217,5.081,22.4344
196412,-14.2342,-0.5955,2.0251,6.1158,24.6584,-11.0869,-0.2943,2.1039,5.5643,31.0024,-9.7003,-0.728,2.6021,5.5574,15.6875,-8.4565,-0.2393,2.2395,5.5703,14.3823,-7.2386,-0.4687,1.9182,5.0892,22.5255
196501,-13.9172,-0.6038,2.0174,6.1114,24.2391,-11.2136,-0.2891,2.106,5.5414,31.3938,-9.6186,-0.6992,2.6057,5.5745,15.7722,-8.5602,-0.2364,2.2402,5.5621,14.2789,-7.2891,-0.4773,1.9127,5.0893,22.5453
196502,-14.6655,-0.6015,2.0094,6.1096,24.1529,-11.2218,-0.2941,2.0943,5.5382,30.107,-9.8415,-0.7099,2.6117,5.5653,15.7903,-8.599,-0.2389,2.2356,5.5838,14.22,-7.187,-0.4726,1.9357,5.0892,22.2118
196503,-14.477,-0.5913,2.0075,6.1322,24.0529,-11.5459,-0.2923,2.0807,5.5578,29.7056,-9.7854,-0.6812,2.6168,5.5696,15.709,-8.5869,-0.2288,2.2505,5.5758,14.2034,-7.1571,-0.4746,1.9529,5.0929,22.2942
196504,-14.6325,-0.5929,2.0055,6.1676,23.9126,-11.3134,-0.2912,2.0935,5.5478,29.8761,-9.6698,-0.683,2.6119,5.587,15.6847,-8.7242,-0.224,2.2348,5.598,14.2543,-7.166,-0.4783,1.9573,5.0906,22.4479
196505,-14.3119,-0.5834,1.994,6.1987,24.3109,-11.4748,-0.2936,2.0775,5.5516,29.7035,-9.7217,-0.6785,2.6185,5.5772,15.5585,-8.7781,-0.236,2.2316,5.5975,14.0752,-7.1953,-0.4839,1.9704,5.087,22.7608
