,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
196307,0.0494,0.0405,0.0506,0.0872,0.1048,0.0225,0.0265,0.1025,0.0783,0.0575,0.0632,0.0469,0.0798,0.055,0.1391,0.0507,0.0453,0.0737,0.0689,0.1519,0.0704,0.0618,0.0596,0.0943,0.0803
196308,0.0499,0.0445,0.0508,0.0959,0.1005,0.0237,0.0268,0.0996,0.079,0.0577,0.0649,0.0461,0.0784,0.0558,0.1367,0.0496,0.0452,0.0732,0.0685,0.153,0.0701,0.0624,0.06,0.0943,0.0789
196309,0.0481,0.0449,0.0509,0.0919,0.0968,0.0235,0.0281,0.0988,0.079,0.059,0.0669,0.0453,0.0761,0.0565,0.1346,0.0498,0.045,0.0735,0.0678,0.1541,0.0701,0.0627,0.0601,0.094,0.0784
196310,0.0486,0.0449,0.0508,0.0852,0.0932,0.0234,0.0276,0.099,0.0779,0.0581,0.0646,0.0462,0.074,0.0566,0.1351,0.05,0.0453,0.0724,0.0669,0.1572,0.0698,0.063,0.0609,0.0934,0.0761
196311,0.0481,0.0379,0.049,0.0822,0.0933,0.0228,0.0263,0.1009,0.0781,0.0574,0.0664,0.0456,0.0741,0.0573,0.134,0.0481,0.0455,0.0743,0.0658,0.1527,0.0699,0.0649,0.0607,0.0946,0.0783
196312,0.0477,0.037,0.052,0.08,0.0885,0.0226,0.0245,0.0972,0.078,0.0583,0.0666,0.0438,0.0728,0.057,0.1327,0.0489,0.0458,0.0755,0.0662,0.1486,0.0702,0.0632,0.0609,0.0945,0.0779
196401,0.0474,0.0373,0.0546,0.0791,0.0886,0.0235,0.0251,0.1025,0.077,0.0594,0.0666,0.0423,0.0729,0.0576,0.1324,0.0489,0.0454,0.0759,0.0644,0.1479,0.0707,0.0626,0.0607,0.0945,0.077
196402,0.049,0.0358,0.0533,0.082,0.088,0.0241,0.0269,0.1003,0.0772,0.0593,0.0655,0.0411,0.0718,0.0574,0.1302,0.0479,0.0454,0.0765,0.0643,0.1477,0.071,0.0623,0.0612,0.0942,0.0726
196403,0.0481,0.0355,0.0539,0.0793,0.0862,0.0238,0.0272,0.1021,0.0782,0.06,0.0638,0.0405,0.0712,0.0581,0.127,0.0471,0.0454,0.0772,0.0638,0.1443,0.0711,0.0617,0.0614,0.0942,0.0743
196404,0.0486,0.0411,0.053,0.0722,0.0856,0.0239,0.0291,0.1029,0.076,0.0591,0.0635,0.0399,0.0677,0.0582,0.1233,0.0484,0.0452,0.0765,0.0627,0.1412,0.0711,0.0615,0.0606,0.094,0.073
196405,0.047,0.0445,0.0548,0.0716,0.0882,0.0228,0.0288,0.107,0.0748,0.0573,0.0648,0.0385,0.0678,0.0579,0.1228,0.0504,0.0452,0.077,0.063,0.1371,0.0715,0.0625,0.0611,0.0942,0.0745
196406,0.0465,0.0466,0.0563,0.0684,0.0868,0.0221,0.0261,0.1032,0.0756,0.0571,0.0664,0.0383,0.0666,0.0581,0.1173,0.0504,0.0452,0.0764,0.0627,0.1344,0.0719,0.0626,0.0616,0.0942,0.0714
196407,0.054,0.0269,0.0778,0.0301,0.0866,0.0946,0.0368,0.0524,0.0843,0.1196,0.0518,0.0693,0.0665,0.0745,0.0971,0.0422,0.0444,0.0565,0.076,0.0738,0.0535,0.0542,0.0655,0.1254,0.0654
196408,0.0524,0.0271,0.0813,0.0305,0.098,0.0936,0.0371,0.0534,0.0863,0.1155,0.0507,0.0695,0.0674,0.0755,0.0985,0.0416,0.044,0.0564,0.0759,0.0749,0.0534,0.0545,0.0638,0.124,0.0671
196409,0.0528,0.0272,0.084,0.0332,0.0993,0.093,0.037,0.0519,0.0891,0.1177,0.0524,0.0705,0.068,0.076,0.1004,0.0416,0.0444,0.0562,0.0756,0.0747,0.0533,0.0546,0.0642,0.125,0.0686
196410,0.052,0.0266,0.0829,0.0322,0.1012,0.0935,0.0361,0.053,0.0886,0.116,0.0525,0.0698,0.0667,0.0743,0.0996,0.0421,0.045,0.0558,0.0755,0.0734,0.0534,0.0546,0.0637,0.1287,0.0706
