,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
196307,0.2182,0.3771,0.1746,0.2385,0.3098,0.2298,0.25,0.2857,0.2591,0.2597,0.2569,0.2172,0.2769,0.3385,0.2235,0.3118,0.2606,0.2528,0.3059,0.3243,0.2245,0.3127,0.3066,0.4337,0.2579
196308,0.2217,0.3816,0.1772,0.236,0.3128,0.2321,0.2515,0.2902,0.2567,0.2606,0.2567,0.2158,0.2772,0.341,0.2231,0.3139,0.2606,0.2532,0.3079,0.3239,0.2236,0.3127,0.3068,0.4369,0.2592
196309,0.2227,0.3785,0.1783,0.2335,0.3209,0.2312,0.252,0.2897,0.2582,0.262,0.2575,0.2144,0.2763,0.339,0.2222,0.3142,0.2615,0.2518,0.3087,0.3257,0.224,0.3138,0.3074,0.4334,0.2591
196310,0.2214,0.3821,0.1811,0.2379,0.3143,0.23,0.2511,0.2862,0.2548,0.2597,0.2574,0.2135,0.2731,0.3386,0.22,0.3111,0.2618,0.2522,0.3094,0.3224,0.2235,0.3141,0.3057,0.4316,0.2567
196311,0.222,0.395,0.1811,0.2391,0.3299,0.2279,0.2509,0.291,0.2543,0.2579,0.2574,0.2114,0.2738,0.3359,0.2233,0.3128,0.2604,0.2494,0.3108,0.327,0.2243,0.3181,0.3065,0.4342,0.2594
196312,0.2233,0.3957,0.1807,0.2433,0.3181,0.2263,0.2516,0.2958,0.2516,0.2558,0.2576,0.2087,0.2737,0.332,0.2252,0.3138,0.2603,0.2491,0.311,0.328,0.2248,0.3144,0.306,0.4321,0.2605
196401,0.224,0.397,0.1887,0.2343,0.3029,0.2274,0.2526,0.2944,0.2514,0.2536,0.2575,0.2082,0.275,0.3371,0.2272,0.3089,0.2591,0.249,0.312,0.3278,0.2244,0.3134,0.3067,0.4303,0.2595
196402,0.2189,0.3892,0.1891,0.2315,0.2969,0.2297,0.2524,0.2976,0.25,0.2581,0.2575,0.2064,0.2739,0.3343,0.2342,0.3114,0.2597,0.2481,0.3119,0.3304,0.2235,0.3127,0.3069,0.4349,0.2564
196403,0.2195,0.384,0.1954,0.2309,0.2879,0.2275,0.25,0.2993,0.2521,0.2605,0.2572,0.2072,0.2713,0.3341,0.2349,0.3157,0.2604,0.248,0.3113,0.3308,0.2246,0.3131,0.3064,0.4345,0.2571
196404,0.2184,0.3721,0.1919,0.234,0.3098,0.227,0.2506,0.2988,0.248,0.2713,0.2571,0.2049,0.2665,0.3303,0.2324,0.314,0.2587,0.2473,0.3124,0.3303,0.2247,0.3127,0.3062,0.4364,0.2559
196405,0.219,0.3684,0.1962,0.2369,0.304,0.221,0.2484,0.2979,0.2468,0.2757,0.2565,0.2049,0.2668,0.3304,0.2328,0.3091,0.2597,0.247,0.3108,0.3161,0.2234,0.3128,0.3068,0.4384,0.2559
196406,0.2195,0.373,0.1929,0.2276,0.2913,0.2195,0.2475,0.3032,0.2431,0.2831,0.2582,0.2045,0.2665,0.3323,0.2342,0.3106,0.2581,0.2474,0.3106,0.3159,0.2233,0.3135,0.3063,0.442,0.2532
196407,0.1699,0.2252,0.1253,0.2507,0.3181,0.2396,0.2338,0.2516,0.197,0.2014,0.2461,0.2386,0.2553,0.3293,0.2354,0.2654,0.2556,0.2644,0.2576,0.3456,0.2437,0.3481,0.3156,0.4284,0.2512
196408,0.1709,0.2261,0.1242,0.2452,0.3389,0.2351,0.2342,0.2502,0.1963,0.2045,0.2458,0.2375,0.2569,0.3261,0.2319,0.2665,0.2573,0.2651,0.2581,0.342,0.244,0.3498,0.3156,0.4257,0.2504
196409,0.1707,0.2261,0.124,0.2465,0.3331,0.2355,0.2344,0.2479,0.1998,0.2045,0.2463,0.2382,0.2589,0.3288,0.231,0.2661,0.2577,0.265,0.257,0.337,0.2447,0.3509,0.3155,0.4235,0.2497
196410,0.1717,0.2267,0.1245,0.2398,0.3338,0.2356,0.2314,0.2451,0.1976,0.2044,0.247,0.2391,0.2586,0.327,0.232,0.267,0.2569,0.2649,0.2565,0.3407,0.2446,0.351,0.3144,0.4239,0.2499
196411,0.1722,0.2287,0.1214,0.2371,0.33,0.2361,0.232,0.2474,0.1942,0.1998,0.2479,0.2384,0.2594,0.327,0.2339,0.2674,0.2565,0.2645,0.2554,0.3406,0.2443,0.3498,0.3143,0.4214,0.2514
196412,0.1732,0.2284,0.1206,0.2464,0.3325,0.2363,0.2303,0.246,0.1952,0.2029,0.2479,0.2403,0.2588,0.3243,0.2356,0.2658,0.2565,0.2645,0.2565,0.3437,0.2444,0.3464,0.3147,0.4197,0.2539
196501,0.1722,0.2275,0.1224,0.2524,0.3287,0.2356,0.2311,0.2447,0.1959,0.2025,0.2466,0.2395,0.2612,0.325,0.238,0.2664,0.257,0.265,0.2556,0.3445,0.2442,0.3493,0.3154,0.421,0.2544
196502,0.1711,0.2277,0.1232,0.2469,0.3419,0.2362,0.2337,0.2451,0.1956,0.2038,0.2453,0.2416,0.2598,0.3258,0.2354,0.2654,0.257,0.265,0.2548,0.3454,0.2452,0.3507,0.3163,0.4237,0.254
196503,0.17,0.2285,0.1246,0.2458,0.3444,0.2362,0.2359,0.2447,0.1954,0.1992,0.2453,0.2418,0.2593,0.3255,0.2404,0.2659,0.2566,0.2655,0.2548,0.3465,0.2458,0.3507,0.3161,0.4253,0.2565
196504,0.17,0.2271,0.1249,0.2424,0.341,0.2344,0.237,0.2471,0.1964,0.199,0.2451,0.2429,0.2596,0.32,0.2394,0.2649,0.2558,0.264,0.2543,0.3459,0.2464,0.3523,0.3157,0.4252,0.2573
196505,0.1665,0.2323,0.1269,0.2449,0.3522,0.2325,0.2363,0.2472,0.1972,0.2012,0.2453,0.2425,0.2584,0.3196,0.2388,0.2651,0.256,0.2626,0.2548,0.343,0.2467,0.3555,0.3141,0.4282,0.2581
196506,0.1667,0.2312,0.126,0.2457,0.3583,0.2334,0.235,0.2465,0.1943,0.1971,0.2454,0.2424,0.2578,0.3187,0.2408,0.2662,0.2549,0.2634,0.2569,0.347,0.2465,0.3528,0.3141,0.4298,0.2623
196507,0.2422,0.2423,0.2537,0.2033,0.2899,0.299,0.2721,0.2578,0.2686,0.2554,0.2711,0.2628,0.2888,0.2882,0.2805,0.272,0.2688,0.2846,0.2935,0.3174,0.3058,0.2945,0.3042,0.4523,0.3409
196508,0.2427,0.2453,0.2501,0.206,0.2908,0.3032,0.2725,0.2574,0.276,0.2547,0.2722,0.2627,0.286,0.2858,0.2797,0.2738,0.269,0.284,0.2934,0.3142,0.3048,0.2951,0.3035,0.4554,0.3419
196509,0.2445,0.2431,0.2472,0.2022,0.2893,0.3063,0.2731,0.2574,0.2683,0.2577,0.2745,0.2658,0.2861,0.2832,0.2796,0.2738,0.2689,0.2841,0.2937,0.3189,0.3056,0.2954,0.3049,0.4577,0.3457
196510,0.2426,0.2429,0.2419,0.1993,0.2871,0.3074,0.2726,0.2579,0.2743,0.2563,0.2745,0.2653,0.2826,0.2825,0.2787,0.2757,0.2672,0.2848,0.2931,0.322,0.3063,0.2966,0.3061,0.4575,0.3469
196511,0.2412,0.239,0.247,0.2046,0.2841,0.306,0.2736,0.2572,0.2921,0.2579,0.2736,0.2684,0.2811,0.2813,0.2789,0.2765,0.2666,0.2847,0.295,0.3255,0.3089,0.2982,0.3059,0.4573,0.3479
196512,0.2391,0.2341,0.2392,0.1984,0.269,0.3101,0.2734,0.2582,0.3068,0.2579,0.2782,0.2713,0.2801,0.2796,0.2818,0.2787,0.2679,0.2853,0.2935,0.33,0.3058,0.299,0.3073,0.4585,0.3559
196601,0.2418,0.243,0.2402,0.1955,0.2732,0.3066,0.271,0.2574,0.3049,0.2543,0.2767,0.2718,0.2801,0.2802,0.28,0.2768,0.2656,0.2849,0.2948,0.3249,0.3055,0.3007,0.3057,0.4543,0.3498
196602,0.239,0.2364,0.2406,0.1967,0.2661,0.2993,0.2714,0.2544,0.3088,0.2561,0.277,0.2674,0.2768,0.2797,0.2787,0.2772,0.2659,0.2841,0.2923,0.3241,0.3052,0.3009,0.3062,0.456,0.3483
196603,0.2336,0.2414,0.2471,0.1954,0.2675,0.289,0.2673,0.2562,0.3251,0.2571,0.2784,0.2687,0.2737,0.2776,0.2763,0.2774,0.2653,0.2835,0.2907,0.325,0.3059,0.3,0.305,0.462,0.3492
196604,0.2336,0.241,0.2462,0.1914,0.2732,0.2892,0.2697,0.2561,0.3406,0.2576,0.2785,0.2767,0.2732,0.2775,0.2791,0.2771,0.266,0.2845,0.2944,0.3319,0.3061,0.3015,0.305,0.4648,0.3516
196605,0.2366,0.2381,0.2479,0.186,0.2715,0.2862,0.2711,0.2517,0.3339,0.2567,0.2788,0.2777,0.2738,0.2757,0.28,0.2768,0.2648,0.2846,0.2943,0.3387,0.3035,0.3014,0.3043,0.4665,0.3525
196606,0.2359,0.2379,0.247,0.1946,0.2797,0.2912,0.2717,0.2555,0.3155,0.2581,0.2777,0.2801,0.2776,0.277,0.2818,0.2777,0.2646,0.2849,0.2962,0.343,0.3034,0.3023,0.3052,0.4685,0.3556
196607,0.2466,0.2285,0.1888,0.2464,0.639,0.266,0.2734,0.2829,0.2308,0.281,0.2591,0.2356,0.3314,0.3057,0.3285,0.299,0.2735,0.2955,0.3021,0.2997,0.2571,0.3741,0.3581,0.419,0.4387
196608,0.2427,0.2402,0.1878,0.2466,0.6319,0.2684,0.2727,0.2823,0.2325,0.2799,0.2594,0.236,0.3312,0.3043,0.3269,0.2988,0.2731,0.2953,0.3047,0.3022,0.2559,0.374,0.3578,0.4183,0.4407
196609,0.2447,0.2408,0.189,0.2498,0.6378,0.2663,0.2728,0.2835,0.233,0.2648,0.2597,0.236,0.3285,0.3049,0.3246,0.2991,0.2746,0.2957,0.3025,0.3023,0.2557,0.3728,0.359,0.4122,0.4434
196610,0.2457,0.2446,0.1886,0.2502,0.5929,0.2698,0.2722,0.2851,0.235,0.2645,0.2604,0.2365,0.3273,0.3063,0.3233,0.3,0.2741,0.2964,0.3043,0.3021,0.2556,0.3715,0.3596,0.4142,0.4431
196611,0.2426,0.2407,0.1922,0.2497,0.585,0.268,0.2731,0.2852,0.2324,0.2644,0.2597,0.2369,0.3263,0.3054,0.3258,0.2994,0.2753,0.295,0.3049,0.3016,0.2542,0.3668,0.3611,0.4114,0.4419
196612,0.241,0.244,0.1865,0.2526,0.575,0.272,0.2773,0.2792,0.2316,0.2633,0.2618,0.2355,0.3354,0.3065,0.3263,0.3034,0.2737,0.2958,0.3065,0.3072,0.2559,0.3648,0.3656,0.4232,0.444
196701,0.2411,0.2412,0.1882,0.2542,0.6458,0.2694,0.2769,0.2835,0.2313,0.2669,0.2613,0.2356,0.3413,0.3053,0.3282,0.3058,0.2731,0.2949,0.3074,0.3051,0.2559,0.3652,0.364,0.4227,0.4403
