,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR
196307,0.0632,0.0894,0.098,0.1229,0.1603,0.0459,0.0795,0.0716,0.0775,0.0979,0.0555,0.0688,0.1002,0.1017,0.1255,0.0681,0.0709,0.0877,0.1056,0.0988,0.0737,0.0588,0.0695,0.0626,0.0581
196308,0.0779,0.0551,0.086,0.1304,0.1588,0.0481,0.0626,0.1005,0.0633,0.1264,0.0669,0.0647,0.0828,0.1546,0.1156,0.0671,0.0638,0.0839,0.1087,0.1062,0.0745,0.034,0.0657,0.0853,0.0618
196309,0.0691,0.0605,0.0695,0.1208,0.1651,0.0515,0.0686,0.0667,0.0996,0.1137,0.0526,0.0652,0.0944,0.0978,0.1452,0.0724,0.0836,0.0719,0.0908,0.0965,0.0727,0.062,0.0637,0.0623,0.0869
196310,0.0631,0.052,0.0996,0.1115,0.1528,0.0565,0.0836,0.0668,0.1064,0.1137,0.0533,0.0457,0.1173,0.1027,0.1335,0.0653,0.0698,0.0552,0.1004,0.117,0.0708,0.0612,0.0828,0.0559,0.0815
196311,0.0525,0.073,0.1536,0.0943,0.1494,0.0768,0.0714,0.0708,0.0718,0.1303,0.0597,0.0543,0.078,0.115,0.135,0.0636,0.0681,0.0528,0.1009,0.1236,0.0547,0.0882,0.0836,0.0426,0.1004
196312,0.0432,0.0752,0.0932,0.1437,0.1725,0.0657,0.0969,0.0735,0.0583,0.0978,0.0407,0.0748,0.0724,0.1371,0.1269,0.0538,0.078,0.0818,0.0681,0.1479,0.0499,0.076,0.096,0.047,0.1059
196401,0.0359,0.0967,0.0919,0.1458,0.1704,0.0646,0.0751,0.0828,0.103,0.0834,0.0537,0.0489,0.0917,0.1359,0.1599,0.0586,0.0473,0.1178,0.058,0.1322,0.0577,0.0637,0.0686,0.0923,0.1012
196402,0.0432,0.0875,0.0749,0.123,0.1658,0.0521,0.0598,0.1193,0.0706,0.0995,0.0487,0.046,0.1418,0.1261,0.15,0.0622,0.0594,0.0671,0.11,0.1009,0.0522,0.0576,0.1035,0.0857,0.0772
196403,0.0581,0.0736,0.092,0.0894,0.1732,0.0482,0.0649,0.0929,0.1213,0.1021,0.0351,0.073,0.1159,0.1344,0.1316,0.0723,0.0513,0.1026,0.0817,0.1006,0.0521,0.0921,0.081,0.0686,0.0846
196404,0.0605,0.0771,0.0479,0.1351,0.1646,0.0618,0.0618,0.1788,0.103,0.1058,0.0441,0.07,0.0865,0.1107,0.1894,0.0417,0.0875,0.0805,0.0963,0.118,0.0668,0.0642,0.0873,0.0392,0.0832
