,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR
196307,1.194,2.4727,3.8844,5.6517,18.61,1.103,1.9111,2.6861,3.7395,8.0451,0.8024,1.4407,2.0399,2.743,5.6497,0.6952,1.0989,1.4916,2.0605,3.8259,0.4211,0.7199,0.9987,1.2782,2.068
196308,1.0605,2.1603,3.3115,5.098,18.948,0.9666,1.7298,2.4024,3.1994,7.0283,0.7315,1.2356,1.813,2.5789,5.503,0.6225,1.0009,1.3357,1.7599,3.1736,0.3757,0.675,0.8817,1.2107,1.9448
196309,0.9869,2.0238,3.2777,4.9001,17.2542,0.8791,1.5531,2.2588,3.0438,6.7161,0.7173,1.2672,1.8141,2.4395,5.2032,0.5645,0.9307,1.3137,1.7407,3.0935,0.3038,0.6382,0.9141,1.185,2.1006
196310,1.0811,2.1324,3.3469,4.7912,17.8021,0.897,1.6277,2.2995,3.1559,7.0088,0.7626,1.3383,1.8708,2.5923,6.2032,0.5338,0.9225,1.3659,1.889,3.2123,0.381,0.702,0.878,1.2512,2.4769
196311,1.1224,2.2045,3.5834,5.2423,18.5559,0.9153,1.7027,2.5107,3.632,8.2234,0.7604,1.3575,2.0043,2.9117,7.7966,0.5816,0.9998,1.4067,1.9328,3.7342,0.401,0.6961,0.9737,1.3955,3.0482
196312,1.1147,2.326,3.745,5.6789,20.1203,1.0214,1.8182,2.569,3.6997,8.9362,0.7316,1.3248,2.0146,3.1005,8.3825,0.6108,1.0371,1.5036,2.1375,4.6071,0.5117,0.8078,1.0509,1.4609,3.5572
196401,1.1155,2.4221,3.5759,5.6992,19.8833,1.0472,1.972,2.7329,4.0198,9.3824,0.7623,1.4496,2.1041,3.0626,8.2395,0.6194,1.095,1.4399,1.9954,4.0901,0.5427,0.8309,1.0695,1.3955,3.4332
196402,1.2373,2.5873,4.039,5.9623,21.4263,1.1323,2.0806,2.9026,4.1927,10.0676,0.8665,1.5136,2.2482,3.1127,8.1138,0.6221,1.0911,1.4971,2.1656,4.8351,0.6015,0.8111,1.0703,1.4616,3.236
196403,1.1791,2.4843,3.839,5.6214,20.6413,1.0679,1.8971,2.7149,3.911,10.311,0.8098,1.5135,2.1724,3.0005,6.9397,0.6006,0.9993,1.3865,2.0129,4.2941,0.4496,0.8085,1.0662,1.4075,3.0208
196404,1.1948,2.5704,4.2676,6.0666,21.0264,1.0806,1.8783,2.8573,4.0936,10.3389,0.8083,1.5104,2.0696,3.0603,6.9486,0.628,1.0238,1.5062,2.0941,4.1121,0.4246,0.7861,1.0031,1.3384,2.9836
196405,1.3146,2.786,4.0711,6.0057,20.6202,1.0287,1.9522,2.7398,3.9265,9.3994,0.7966,1.4499,2.1678,3.0935,6.6572,0.6671,1.0379,1.4345,2.0433,4.1615,0.4119,0.721,0.9791,1.3965,3.1712
196406,1.1393,2.5268,3.9924,6.3039,20.6994,0.9759,1.9053,2.7349,3.8228,10.4778,0.7616,1.3826,2.1202,3.0562,6.2404,0.6423,1.0649,1.4329,2.0232,4.4312,0.3958,0.7724,1.0159,1.3842,3.2474
196407,1.1627,2.4106,3.677,6.0245,19.7461,0.8383,1.684,2.4353,3.5426,10.2294,0.741,1.4096,2.0626,2.829,5.3575,0.5903,0.9585,1.3333,1.8442,3.9273,0.4342,0.6979,0.9106,1.3135,3.3391
196408,1.0174,2.2446,3.5442,5.5593,18.056,0.8186,1.624,2.3238,3.3101,8.0737,0.7304,1.34,1.9326,2.5249,4.6699,0.5522,0.8992,1.2837,1.8556,3.537,0.4153,0.6928,0.9532,1.2288,2.6808
196409,1.0126,2.1525,3.4032,5.2408,18.0982,0.8913,1.5698,2.2073,3.0926,7.1182,0.6878,1.2106,1.7214,2.4035,4.501,0.5505,0.9073,1.2279,1.8266,3.3652,0.4374,0.6645,0.9227,1.2086,2.2836
196410,1.0637,2.1261,3.3504,4.9625,19.5356,0.8114,1.4565,2.2217,3.2781,7.8398,0.6974,1.1825,1.6574,2.437,4.928,0.5101,0.8686,1.1768,1.7139,3.4085,0.3813,0.6834,0.9157,1.2264,2.334
196411,0.9636,1.9291,3.1545,5.2161,19.2792,0.8399,1.468,2.2241,3.2652,11.1057,0.6785,1.1573,1.567,2.3209,4.5629,0.495,0.8269,1.1711,1.7249,3.1258,0.3544,0.6348,0.8823,1.2054,2.228
196412,0.9853,2.0347,3.4333,5.2223,18.5336,0.8107,1.5356,2.2569,3.3008,11.2831,0.7619,1.2062,1.6547,2.4744,4.6967,0.5209,0.8619,1.2248,1.7666,3.0982,0.3828,0.6959,0.921,1.1914,2.1807
196501,1.0485,2.0261,3.0781,5.0562,17.5745,0.7234,1.4733,2.1292,3.017,8.3833,0.701,1.2133,1.6391,2.3205,4.4268,0.5649,0.9375,1.297,1.7194,2.9593,0.4293,0.7494,0.9209,1.2443,2.4172
196502,1.1386,2.2026,3.3574,4.9479,16.6829,0.7745,1.5102,2.1385,3.1049,7.9812,0.7956,1.2854,1.7713,2.3101,4.5591,0.6409,1.0389,1.3824,1.9002,3.2111,0.4524,0.7607,0.9549,1.2725,2.4371
196503,1.179,2.175,3.5672,5.4388,17.9848,0.8006,1.529,2.2596,3.1222,8.1471,0.7503,1.3401,1.7592,2.3463,4.95,0.6599,1.0454,1.4134,1.8948,3.4066,0.4431,0.6723,0.964,1.252,2.5028
196504,1.1047,2.2627,3.6503,6.0087,20.4154,0.8224,1.5537,2.1495,3.1532,8.3721,0.7523,1.2839,1.7261,2.3103,4.5888,0.6061,0.9676,1.2691,1.7396,3.2893,0.3714,0.6413,0.8498,1.1834,2.1618
196505,1.077,2.3255,3.5118,5.5549,19.0049,0.8287,1.5617,2.1678,3.0962,8.4958,0.6911,1.1709,1.5699,2.1355,4.6031,0.5757,0.9342,1.2612,1.726,3.3389,0.3787,0.5891,0.8015,1.0873,2.0608
196506,1.0671,2.2405,3.3366,5.0184,17.5131,0.8294,1.481,2.1191,2.997,7.3038,0.6033,1.0955,1.5213,2.1039,4.7712,0.5629,0.8904,1.2689,1.6889,3.0447,0.3801,0.6341,0.807,1.0935,1.969
196507,1.2621,2.4172,3.5219,4.9175,15.9054,0.953,1.6251,2.2806,3.0119,7.3231,0.7738,1.303,1.7485,2.413,4.8928,0.6957,1.1127,1.5184,1.912,3.2992,0.4498,0.7568,0.9824,1.2576,2.1076
196508,1.219,2.2107,3.3923,5.181,15.1136,0.9677,1.6234,2.2565,3.1293,6.4351,0.85,1.4038,1.8158,2.5101,5.4096,0.7189,1.1359,1.4928,2.0421,3.6504,0.4279,0.8033,1.0495,1.4398,2.2767
196509,1.1888,2.3208,3.4984,5.533,15.8642,0.8895,1.5911,2.2896,3.344,7.1545,0.8453,1.4714,1.9493,2.7306,6.5681,0.6788,1.0777,1.495,2.0882,4.0988,0.3934,0.8026,1.0765,1.4877,2.4429
196510,1.0276,2.2171,3.4758,6.2229,17.6889,0.7906,1.5844,2.3043,3.6153,8.0695,0.7125,1.3625,1.8933,2.706,6.9495,0.62,0.9885,1.3605,2.0417,4.1719,0.3664,0.7316,1.0303,1.5513,2.5163
196511,1.1039,2.5359,4.102,6.9435,21.4207,0.8764,1.7647,2.7229,3.9765,9.1974,0.7139,1.395,2.0763,3.0135,7.5491,0.6169,1.0058,1.4496,2.1468,4.7322,0.3862,0.7391,1.053,1.5648,2.7112
196512,1.0169,2.4306,4.1534,6.6917,23.0857,0.9571,1.9211,2.9368,4.5504,9.9522,0.7692,1.4075,2.0954,3.2196,9.4603,0.6954,1.1547,1.6912,2.5094,5.8234,0.4546,0.7857,1.0744,1.613,3.0413
196601,1.0953,2.6339,4.4237,7.5286,25.6127,1.1216,2.1339,3.1318,4.9584,10.6639,0.8028,1.5487,2.2703,3.4418,10.9282,0.7367,1.236,1.8244,2.7642,7.7665,0.5499,0.8835,1.2405,1.8116,3.3569
196602,1.1881,2.6096,4.1454,6.9375,25.372,1.1475,2.2331,3.3569,5.1395,11.3345,0.9177,1.5602,2.2662,3.4381,10.5069,0.8236,1.3178,1.8037,2.7293,7.7249,0.5696,0.9413,1.2828,1.8287,3.4931
196603,1.2247,2.5271,4.3306,7.3417,23.4399,1.2065,2.3735,3.4339,4.8742,13.4236,1.0109,1.7061,2.3863,3.5867,9.3222,0.8802,1.4251,1.9279,2.7603,6.891,0.6592,1.0405,1.3763,1.88,3.5782
196604,1.2014,2.4679,4.1057,6.6228,21.0718,1.0988,2.0533,3.0689,4.421,11.9659,1.0278,1.6772,2.4542,3.4407,7.8299,0.917,1.4221,1.8472,2.6983,6.5131,0.6147,1.0851,1.3669,1.9418,3.6162
196605,1.1313,2.5066,4.1744,6.477,19.4486,1.1756,2.1417,3.1081,4.6507,12.4432,0.9562,1.707,2.533,3.7237,9.5173,0.9557,1.4773,2.0196,2.8993,7.5156,0.6266,1.0386,1.5081,1.9865,4.1035
196606,1.245,2.5827,4.0164,6.6197,18.163,1.2474,2.1796,3.1303,4.7078,11.0026,0.9959,1.7353,2.5675,3.8388,9.6238,0.9733,1.5554,2.1951,3.0796,7.8135,0.6471,1.0898,1.5489,2.1128,4.4813
196607,1.2102,2.5392,4.0322,6.3118,15.8457,1.234,2.2932,3.3774,5.2785,10.0898,0.9452,1.7314,2.4441,3.719,8.7647,0.9172,1.4622,2.0573,2.8743,6.7561,0.6493,1.0935,1.4876,2.083,4.5989
196608,1.1348,2.2482,3.4096,5.3724,13.756,1.1411,2.1188,3.1791,4.556,9.3752,0.9066,1.674,2.3786,3.3069,6.3945,0.945,1.4597,1.9868,2.7799,5.2004,0.6432,1.0501,1.5159,2.057,4.05
196609,1.2294,2.5044,3.798,5.7827,14.6612,1.1934,1.9791,3.1198,4.6287,9.4365,1.0184,1.7608,2.478,3.4238,6.2211,0.9963,1.5603,2.0505,2.8282,5.8125,0.7573,1.179,1.6035,2.2511,4.1365
196610,1.2476,2.5746,4.0407,5.8818,15.4334,1.2622,2.1441,3.0333,4.7021,9.4882,1.0773,1.844,2.5162,3.3389,5.9261,1.0985,1.7304,2.3011,3.2906,5.6541,0.7512,1.3881,1.8978,2.631,4.4703
196611,1.4908,2.9816,4.599,6.9418,17.5164,1.4661,2.5074,3.6071,5.484,10.7477,1.2784,2.2338,3.0776,4.3734,7.9269,1.3126,2.1448,2.9262,3.975,6.616,1.0501,1.6503,2.2965,3.1545,5.5706
196612,1.3397,2.8608,4.5552,7.4581,20.5524,1.3482,2.5342,3.6874,5.5754,11.3259,1.1745,2.0773,3.1451,4.5859,8.8788,1.3248,2.1694,2.9785,4.0056,7.1894,0.9621,1.5988,2.2597,2.99,5.1923
196701,1.37,3.0535,5.0885,8.7648,24.1348,1.4617,2.6519,4.0438,6.2965,12.6903,1.2064,2.1907,3.2601,4.737,9.2064,1.2962,2.0336,2.8315,4.185,8.6043,0.9217,1.4998,2.0809,2.8289,4.6571
196702,1.6026,3.1907,5.0923,8.9399,24.7355,1.5058,2.7949,4.3074,6.6582,13.0195,1.2831,2.1732,3.1106,4.428,9.1187,1.1861,1.9516,2.6989,3.7707,8.5217,0.7928,1.3839,1.8915,2.5113,4.4478
196703,1.7116,3.5139,5.6392,8.8731,24.0418,1.6326,3.0903,4.3859,6.2948,12.6248,1.3397,2.2703,3.1141,4.3612,8.8244,1.1026,1.8642,2.5238,3.5944,8.2371,0.7829,1.3432,1.7411,2.3507,3.8095
196704,1.7403,3.3854,5.6084,8.6221,21.7535,1.5523,3.0586,4.5546,6.5181,11.8108,1.3327,2.3168,3.458,4.6394,9.0232,1.1024,1.7616,2.48,3.4913,7.5337,0.8132,1.2776,1.7179,2.3249,3.9666
196705,1.4287,2.943,4.9781,7.9379,19.5009,1.3991,2.7547,4.0016,6.061,11.2559,1.1272,2.1033,3.141,4.2526,7.9272,0.9585,1.5351,2.3268,3.3566,6.8142,0.8027,1.1985,1.591,2.1788,3.6815
196706,1.3125,2.8842,5.0111,7.6967,17.7447,1.3118,2.5903,3.9078,5.4877,10.7086,1.0425,1.9637,2.9428,4.1879,7.3516,0.9206,1.5939,2.1911,3.4549,6.984,0.7159,1.1611,1.6351,2.1124,3.5476
196707,1.3137,2.9382,4.482,7.3263,18.1188,1.3435,2.5704,3.7356,5.3819,12.1035,1.0387,1.9187,2.7856,4.0716,7.8334,0.874,1.6375,2.4216,3.264,6.0527,0.756,1.1936,1.7138,2.127,3.3596
196708,1.3641,3.0738,5.036,7.9482,19.8917,1.4655,2.7662,4.0526,5.8544,11.1209,1.093,1.9928,2.8669,4.1386,7.9402,0.9393,1.6704,2.3538,3.4344,6.5084,0.7618,1.2359,1.7644,2.3356,3.5089
196709,1.4628,3.2132,4.9605,7.576,19.1662,1.4432,2.7888,3.8625,5.186,10.2386,1.025,1.9424,2.9136,4.0125,7.5224,0.9025,1.6684,2.2892,3.3165,6.4521,0.7346,1.1863,1.6525,2.2131,3.3965
196710,1.5474,3.2821,4.8001,7.1229,17.5967,1.2296,2.7301,3.7777,5.1665,10.9283,0.9842,2.0149,2.9669,4.2383,8.3643,0.8997,1.5489,2.2301,3.2762,6.5821,0.761,1.1592,1.6382,2.2217,3.6492
196711,1.3166,2.9632,4.5941,6.638,17.8258,1.0972,2.3249,3.4893,4.6122,9.4045,0.946,1.8696,2.6389,3.8492,7.8549,0.8799,1.536,2.2918,3.473,6.4885,0.7577,1.0892,1.4572,2.147,3.6089
196712,1.5934,3.2557,4.7995,6.9891,17.2294,1.2402,2.3873,3.5834,5.092,11.3138,1.0345,2.1372,3.0654,4.2551,8.7827,0.9723,1.7451,2.5924,3.6684,6.638,0.8216,1.2642,1.8159,2.4533,4.3298
196801,1.5861,3.3045,5.3318,7.8748,17.1106,1.2427,2.3625,3.5708,5.382,11.8084,1.2567,2.4324,3.5534,4.8565,9.5457,1.1034,2.0024,2.8881,4.1222,7.744,0.7878,1.4174,1.968,2.7322,4.5128
196802,1.8198,3.7339,5.8846,8.3484,17.1681,1.577,2.8232,4.1706,5.8088,12.3956,1.3567,2.4194,3.5189,4.8194,9.6705,1.2975,2.0141,2.978,4.2818,7.8452,0.8825,1.4729,2.0983,2.8078,4.7665
196803,1.8044,3.6362,5.4483,7.8417,16.3312,1.5666,2.7581,4.0225,5.5579,11.1749,1.2737,2.2747,3.1563,4.5431,9.6776,1.2355,1.9246,2.8506,4.0636,7.9728,0.8654,1.4493,1.9591,2.5693,4.6514
196804,1.6572,3.198,4.584,6.4638,13.4127,1.4287,2.5895,3.5464,4.8624,9.9011,1.2054,2.0566,2.8726,4.2975,8.2613,1.1072,1.8284,2.6829,3.7857,7.1292,0.7349,1.2956,1.7961,2.5216,4.4862
196805,1.736,3.421,5.0774,7.269,14.2741,1.4374,2.6136,3.8861,5.4666,10.3158,1.3094,2.3815,3.3204,4.5565,8.9701,1.1968,2.0377,2.9323,4.1613,8.1157,0.7317,1.455,1.9974,2.8062,4.4161
196806,1.8802,3.8455,5.7263,7.8326,16.2714,1.4992,2.8993,4.1399,5.8702,11.8039,1.4263,2.4462,3.4301,4.933,9.5707,1.2396,2.1403,3.0982,4.2948,8.1282,0.8112,1.4447,1.94,2.676,4.7194
196807,2.3181,4.5576,6.5938,8.7585,17.3201,1.6608,3.0713,4.4666,6.0793,11.8969,1.576,2.6492,3.7031,5.1973,9.8519,1.4085,2.4447,3.2507,4.4302,8.977,0.9453,1.5036,2.1156,2.9424,5.0692
196808,2.1889,4.5598,6.7043,8.5211,16.7461,1.616,2.968,4.3765,6.0229,11.9464,1.4852,2.6001,3.6305,4.977,9.506,1.4402,2.3341,3.1946,4.4107,8.3064,0.9831,1.4987,2.0442,2.6681,5.6657
196809,2.0663,4.2006,6.0157,8.2933,16.0886,1.5498,2.9259,4.1255,6.0578,10.9105,1.4465,2.5211,3.4334,4.7369,9.648,1.4109,2.2817,3.0787,4.2393,7.4186,1.0163,1.4974,1.9888,2.7731,5.5865
196810,1.9442,4.0665,5.7617,7.6651,15.1043,1.5138,2.8123,3.855,5.5774,11.0861,1.3818,2.4787,3.422,4.6048,9.2936,1.3988,2.1651,3.1118,4.1422,6.9578,0.9668,1.5178,2.0654,2.7655,6.2227
196811,1.8698,3.6902,5.3921,7.4036,14.3924,1.4182,2.7023,3.7934,5.3398,10.0025,1.2732,2.4142,3.3292,4.5215,8.4996,1.2218,2.0318,2.96,3.9405,6.9492,0.8606,1.4197,1.8568,2.6088,5.1466
196812,1.8947,3.724,5.3293,7.1095,13.7303,1.4841,2.8685,3.854,5.1876,10.2779,1.4244,2.4378,3.4895,4.5924,8.6456,1.2584,1.9885,2.9275,3.8702,6.6651,0.808,1.4202,1.9147,2.6914,5.1561
196901,2.081,3.7892,5.2835,6.9071,13.5279,1.5489,2.7597,3.7794,5.2944,10.7334,1.4516,2.5182,3.4457,4.6352,8.6339,1.396,2.0833,2.9013,3.8938,7.1157,0.8684,1.5085,2.0338,2.7243,5.3892
196902,1.8353,3.2725,4.6114,6.3348,13.567,1.4371,2.7007,3.5391,4.9617,10.0695,1.2826,2.2242,3.1297,4.1841,8.2407,1.3798,1.9558,2.5956,3.5501,5.8674,0.8763,1.4394,1.9119,2.569,4.7717
196903,1.8375,3.1857,4.3136,5.8886,12.2769,1.277,2.3995,3.3516,4.589,9.4129,1.1874,2.0289,2.9435,3.7943,7.8248,1.1717,1.8607,2.4521,3.2387,5.4975,0.79,1.3012,1.6997,2.3763,4.4096
196904,1.5836,2.7555,3.73,5.3945,11.0808,1.2229,2.1938,3.0395,4.0907,8.3749,1.0837,1.8682,2.6241,3.6616,6.6619,1.0741,1.7699,2.3003,2.9929,5.7686,0.6789,1.2138,1.6071,2.1642,3.6599
196905,1.4695,2.8092,4.0859,5.7426,11.5262,1.1609,2.1284,3.1614,4.3794,9.1128,1.0631,1.8077,2.5549,3.6142,6.7782,0.9372,1.7127,2.2924,3.1987,6.1829,0.5988,1.2555,1.6958,2.153,3.4819
196906,1.411,2.8311,4.2625,6.2719,13.1898,1.1727,2.1566,3.139,4.3637,9.7941,1.0592,1.9087,2.6064,3.6858,7.2532,0.9265,1.6285,2.3107,3.2169,6.3542,0.5717,1.2434,1.6882,2.1772,3.5743
196907,1.4431,2.9478,4.5264,6.3798,12.3368,1.267,2.2919,3.2135,4.5508,10.6675,1.0953,1.8366,2.6442,3.8467,7.9299,0.9706,1.6685,2.4317,3.2643,6.0807,0.6165,1.2707,1.7212,2.1965,4.2638
196908,1.6663,3.3235,4.7701,6.6569,12.893,1.3327,2.4281,3.5672,4.729,10.2928,1.1392,1.9571,2.913,4.1676,8.1908,1.1353,1.8246,2.5466,3.508,6.7434,0.6246,1.2901,1.7201,2.3283,4.5366
196909,1.7289,3.4959,5.047,7.1222,13.6207,1.4252,2.5878,3.7264,5.5249,10.8964,1.2346,2.2198,3.1765,4.6427,8.7465,1.2446,2.0938,2.8942,3.9569,7.6583,0.7485,1.4193,1.9332,2.6942,4.6281
196910,1.7169,3.4965,5.2422,7.4305,14.7979,1.2411,2.7088,4.0108,5.6911,11.3747,1.3469,2.1905,3.2206,4.9476,8.942,1.1594,2.0498,2.7338,3.6869,7.3833,0.7313,1.4412,2.0013,2.7423,5.2308
