Time,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR,RF
196307,-0.5918,0.6998,-0.2959,0.8114,-1.3086,0.2145,-0.6597,-2.7763,-0.9046,-2.1335,-1.3449,-1.0019,-0.6044,-2.7093,-2.6029,-0.4066,-1.877,-1.1352,-1.4563,-2.0297,0.4368,0.2223,0.8276,-1.782,0.6335,0.27
196308,2.7017,2.6501,4.2077,4.1442,1.9672,2.5654,4.9556,4.7286,6.945,5.5894,3.4608,5.6234,5.5939,5.6759,6.3241,4.0926,5.1274,5.3727,5.5233,7.9694,4.1754,6.6354,6.69,6.4342,7.0672,0.25
196309,0.442,0.0832,-0.085,-2.273,-1.3429,0.0335,-1.3076,-2.1454,-2.5641,-2.6,0.0831,-0.0086,-3.0891,-2.9451,-3.5807,-0.8287,-2.2147,-1.8073,-3.0107,-3.1543,-0.2611,-1.5944,-2.025,-1.917,-1.8725,0.27
196310,0.8782,2.2319,2.5895,0.1572,-0.7824,1.1022,2.178,1.4936,3.4564,3.3432,0.5163,-0.2072,2.7143,2.2431,2.9466,-0.3948,0.8867,0.9055,1.5503,2.4113,4.5912,0.5938,2.1705,2.8873,2.9575,0.29
196311,-0.8239,-0.4372,-0.2705,-2.4344,-3.5333,-0.3345,-0.0651,-0.4829,-0.8691,-4.0405,-1.6385,-1.5613,-1.3389,-1.0728,-2.1493,-0.0058,-0.3985,-1.4274,0.3034,-0.1503,1.5753,-2.6123,-0.7409,-1.4814,-0.0991,0.27
196312,0.4283,0.5474,-0.0528,-1.5671,-4.4746,0.212,1.8168,0.9853,2.182,-1.0278,1.9343,1.3077,0.9152,1.0905,-1.3171,3.4049,1.1533,0.7771,1.3597,1.3403,1.5416,4.6553,1.4035,1.7299,1.6251,0.29
196401,3.6075,3.1954,4.6986,2.5122,4.819,3.3872,3.4141,3.498,3.0294,-0.7382,2.2983,2.3542,2.5504,0.208,-2.5172,0.9647,0.9822,1.0904,2.6301,1.2418,3.9625,3.2861,0.8995,2.4972,0.8259,0.3
196402,3.0861,1.2885,2.221,2.4356,2.971,2.9903,1.7764,2.9387,5.8728,1.7859,1.7332,3.2895,2.7505,3.9666,0.5726,0.6593,2.2278,2.7684,3.8565,4.4012,1.2013,1.6617,0.9791,2.4916,2.2747,0.26
196403,2.4109,3.0373,4.2609,3.0971,1.4997,2.3927,4.9919,5.2076,4.2122,0.8887,1.8426,4.176,2.9904,3.6779,2.5185,3.7238,3.5845,1.7168,2.676,3.6757,0.7261,1.3245,2.6606,1.8321,1.3239,0.31
196404,0.5353,1.1942,-0.8535,-1.5825,-1.1406,0.8071,0.4198,1.0515,-0.5025,-2.5273,1.2244,-0.6294,0.5077,-2.2549,-3.546,0.7539,1.0227,-1.1959,-1.501,0.1097,1.5197,1.4855,-0.8808,0.5689,-1.3962,0.29
196405,0.3929,0.2359,1.2963,0.0721,-0.6863,1.5656,1.8641,2.5871,1.3086,1.2103,0.919,0.8983,1.9665,1.2016,3.0205,1.8494,1.0382,2.1945,0.4396,3.0956,1.8241,1.0532,1.8801,1.4384,2.2929,0.26
196406,1.7107,2.6883,2.2928,2.0735,-1.0212,1.8099,1.6546,2.2694,0.9044,0.1371,1.3382,2.9102,3.8866,0.6772,0.2971,1.8042,2.0256,2.0464,1.6401,1.127,1.7912,1.1937,1.8768,1.7448,0.5841,0.3
196407,3.1011,3.6709,2.6652,3.5767,3.134,2.7467,2.7852,3.4928,2.6315,1.0446,3.1763,2.8524,3.2279,1.599,1.4287,2.1427,3.0941,2.0596,2.5915,0.0158,1.6695,2.5624,2.5032,3.5455,-0.2407,0.3
196408,1.5768,-0.3207,-2.0977,-0.9386,-0.6126,0.1634,-1.0282,0.1868,-2.4807,-3.2726,-0.1131,-0.219,0.2094,-1.2615,-3.4123,0.4273,0.8722,0.6006,-1.2708,-1.3341,-1.4129,-1.3629,-1.4948,-0.899,-0.7223,0.28
196409,2.6378,5.008,4.2321,3.4836,6.2344,2.9603,2.1713,3.4524,4.1031,3.8772,2.4358,2.0357,3.8082,2.1752,3.8864,2.6131,3.5743,2.5885,4.3445,6.004,2.4172,3.2791,1.3353,2.8531,5.7961,0.28
196410,0.7458,3.1234,3.0632,2.0255,3.033,2.3007,1.032,1.8847,1.6349,-1.8654,2.5491,1.0994,3.2562,2.3887,1.0717,0.829,1.5578,2.2703,2.6632,0.9136,0.5408,0.7295,1.5695,0.7671,-0.3755,0.29
196411,0.7785,0.6099,2.236,-0.571,-1.0206,1.8819,-0.5325,0.6555,-1.9479,-2.7231,2.5661,0.2532,0.2323,0.9303,-0.7787,1.1359,0.3179,0.2854,-0.2308,-1.7134,0.325,1.5041,-0.4881,-0.2673,0.8026,0.29
196412,-1.3238,-0.6358,-0.7375,-1.3562,-2.8189,-1.0607,1.2069,0.0228,-1.3724,-1.7557,-0.0375,-0.4266,0.2215,-1.5376,-0.9406,-0.07,-1.4682,-0.7236,0.3675,0.3722,1.1885,0.0469,0.0523,-0.3758,0.2751,0.31
196501,3.877,6.8169,7.838,7.8779,8.9447,4.8726,6.059,6.1977,9.756,6.1255,5.8248,4.6094,5.402,5.8892,5.9138,4.9136,5.116,5.1461,6.2076,4.8347,1.8417,5.7599,5.0424,4.5216,3.5551,0.28
196502,3.1308,3.4833,1.6896,3.7294,3.1066,1.5999,4.3143,2.4531,2.7592,6.2607,2.3147,3.9636,3.6906,5.3179,4.2817,1.8881,4.1298,2.5997,2.3798,2.4588,-0.9095,-0.4422,0.7458,1.505,3.3669,0.3
196503,2.2141,2.1269,3.4056,1.5842,3.0783,1.3301,0.2214,0.6455,0.7727,-0.4651,1.4634,0.5227,0.604,0.6314,0.6936,0.2518,0.4637,-0.1477,-0.6409,-0.4299,-1.7246,-0.4457,-0.5421,-2.3668,-1.3641,0.36
196504,3.9332,5.4878,3.9235,4.6631,3.1616,4.3863,3.2671,6.8472,4.7834,4.9163,2.3262,3.7452,4.6821,5.2835,4.2635,1.527,3.6379,3.9085,4.364,3.7759,3.8478,3.0831,1.5159,2.668,4.6018,0.31
196505,-0.4978,-1.2184,0.5005,-1.6301,-1.5088,-0.3929,-0.307,-2.0761,-0.7893,-1.542,0.0005,-0.292,0.1076,-1.6311,-0.9679,-1.1144,-0.7352,0.3196,-0.919,-0.2704,-0.1953,-0.7574,-0.2605,0.1471,-0.9302,0.31
196506,-4.6028,-7.5999,-7.9087,-9.9952,-12.3898,-5.16,-8.0572,-9.2726,-10.1815,-11.0692,-6.0254,-6.6436,-8.715,-8.1725,-11.0351,-5.7579,-5.9714,-6.2637,-8.973,-10.1234,-3.968,-3.5195,-4.9247,-4.31,-6.2803,0.35
196507,2.2322,3.4571,2.1319,4.0336,2.8638,2.393,3.3915,3.5574,4.0202,3.7059,1.8599,3.3868,2.2543,2.7216,6.6139,2.0939,3.3037,2.712,4.233,3.954,1.4967,1.4927,0.6104,1.2567,1.8973,0.31
196508,2.4009,3.8296,5.73,6.362,3.0018,4.4133,3.52,4.2351,4.6467,7.0081,2.8918,4.576,5.6294,6.0259,10.1044,3.5875,3.9135,3.8149,4.2428,6.482,1.6403,2.0204,3.8937,3.632,6.2029,0.33
196509,2.0572,3.2858,1.3072,6.0169,1.1087,2.3123,3.0191,2.3451,2.8572,4.1028,1.7737,3.2657,3.5713,4.9014,5.4524,1.0652,2.0176,3.5216,4.3361,4.3023,3.4023,1.9804,2.6269,3.534,4.4288,0.31
196510,4.1865,5.2298,7.4547,7.687,10.1004,3.7064,5.9138,4.6449,5.985,5.9091,2.2099,3.3345,4.803,7.5263,7.5206,2.6214,4.0962,3.6702,4.7977,5.0881,1.4564,1.5166,2.3838,4.3927,6.2757,0.31
196511,1.8464,5.5011,3.4953,4.4622,8.1591,1.4757,3.7058,3.8498,2.7291,7.3714,1.2565,2.0966,3.9704,3.8342,8.9896,2.1361,2.2506,2.162,5.8021,5.7688,-2.5611,0.3147,-1.2873,1.469,4.0772,0.35
196512,2.1113,5.7396,3.4669,9.2729,4.3788,2.0828,5.9449,4.0584,4.1101,2.9685,0.8547,2.9785,4.5407,4.8475,5.4464,0.0318,1.4807,2.0295,2.7977,3.4416,-0.8822,1.7842,2.4694,1.0179,3.1948,0.33
196601,5.561,7.7368,6.1434,7.2259,9.182,3.7077,4.587,3.9054,4.9805,6.9643,2.873,4.3826,3.9284,4.0193,4.0096,1.9096,2.7277,2.1528,3.9804,4.4865,-1.4172,-0.3246,1.1279,1.5685,6.4657,0.38
196602,1.195,2.8592,2.9541,3.1832,8.6654,0.7802,0.6618,0.2936,3.6544,7.6388,-0.8468,-0.4355,0.7935,0.9029,3.8048,-0.83,-1.8123,0.2949,2.185,2.7598,-2.7838,-1.3513,-2.7491,-0.1181,3.4017,0.35
196603,-2.2418,-1.182,-0.727,-1.371,0.4935,-2.8824,-3.056,-2.1814,-3.3026,-3.152,-2.441,-3.6278,-2.7763,-1.9692,-2.351,-1.6159,-1.2244,-3.5737,-2.0721,-1.8839,-3.4303,-1.5737,-1.0889,-2.0993,1.6338,0.38
196604,1.4785,5.2982,5.0379,6.5747,6.0745,1.9679,1.9549,4.6824,5.7247,10.4442,0.5745,2.0782,5.766,5.0536,5.931,2.9429,1.4351,3.5305,3.1138,5.8976,1.3905,1.0246,2.392,3.405,3.7873,0.34
196605,-4.4786,-5.53,-8.1917,-9.8264,-14.3421,-4.3312,-7.7115,-8.5657,-9.9464,-13.408,-2.8917,-4.7851,-7.5753,-8.9134,-13.3571,-4.3232,-5.4076,-4.6568,-7.3026,-11.3579,-4.0443,-4.1318,-3.576,-5.2911,-7.0179,0.41
196606,-0.2788,0.5739,-1.0365,-0.8012,-0.4508,-0.9784,0.9106,1.5704,-0.1489,-0.3408,-1.4377,-0.8629,-0.4224,-0.6563,1.2804,-0.5451,-1.2172,-0.6967,-1.5348,3.379,-2.524,-1.2475,0.0989,-1.1128,1.783,0.38
196607,-0.5006,-1.292,-1.6081,-1.1578,-3.2344,-1.2198,-1.1427,-2.704,-2.1637,-1.8418,-0.4172,-1.7415,-1.2017,-0.1399,-0.6821,-1.0008,-0.76,-1.3366,-1.5372,-3.3884,-0.2469,-0.791,-2.3119,-2.4528,-2.4241,0.35
196608,-6.6835,-9.3383,-9.8129,-11.8696,-14.0747,-7.9562,-9.0842,-10.2392,-11.578,-11.5877,-7.7176,-8.3702,-9.0782,-9.9018,-9.738,-7.8184,-7.562,-9.231,-8.4856,-9.4165,-5.5716,-7.1072,-8.9331,-8.0597,-7.9648,0.41
196609,-1.8633,0.0648,-0.4657,-2.63,-3.1649,0.0416,-1.6648,-0.5009,-3.1136,-2.8262,-0.6979,-1.3685,-1.2605,-0.0937,-4.3369,0.5993,-0.6881,-0.1575,-2.4104,-3.481,0.2981,-1.632,1.6933,-0.4558,-4.1481,0.4
196610,-0.5023,-1.468,-2.0435,-4.4232,-8.2367,1.0983,-0.2078,2.4593,-2.4845,-6.4918,3.5598,4.3766,2.7662,2.9519,-3.9556,3.8477,4.1335,4.2436,4.3785,-4.2905,6.4713,5.6761,4.7093,6.597,-0.0819,0.45
196611,1.4123,1.8221,3.3955,6.0511,7.1111,-0.0891,2.5323,1.8904,8.4498,12.2267,-0.5832,1.4639,2.4884,7.1428,13.7308,0.3332,0.9316,3.416,3.9067,12.0216,-1.301,-0.0847,1.4018,2.8223,10.3477,0.4
196612,1.3748,2.5998,2.1026,2.4324,0.9304,0.7687,2.4532,1.4346,3.0661,2.6732,1.5633,1.7576,2.7892,0.9246,4.5723,2.3545,2.2812,3.6392,2.6354,1.8484,0.0415,-0.5894,0.0194,1.2549,-0.5297,0.4
196701,12.0306,15.4472,19.1814,21.7731,26.1344,13.2751,14.3747,19.5366,20.2826,21.3869,10.7576,12.668,15.2766,15.7009,18.4874,9.3498,9.8815,9.3636,9.0883,16.6229,7.4036,5.627,5.4703,7.5382,9.8039,0.43
196702,2.6891,5.3654,3.1977,4.9311,8.9008,2.5935,1.5906,3.1474,3.3754,3.1508,0.1424,1.197,1.4785,1.8435,5.3645,0.3401,-0.8679,0.2332,0.6782,2.988,1.4846,-0.8242,0.2421,2.0586,1.4083,0.36
