,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR
196307,0.0628,0.0889,0.0974,0.1267,0.1584,0.0524,0.0787,0.0833,0.0685,0.0907,0.0557,0.0702,0.1032,0.0982,0.1272,0.068,0.0647,0.0885,0.1216,0.0899,0.0551,0.06,0.1092,0.052,0.0697
196308,0.0771,0.0579,0.0975,0.1155,0.161,0.0547,0.0527,0.1008,0.0725,0.1185,0.0661,0.054,0.1001,0.1366,0.1359,0.0678,0.0576,0.0979,0.0983,0.1051,0.0542,0.0601,0.0909,0.0697,0.0745
196309,0.0601,0.0692,0.0855,0.1044,0.1684,0.0544,0.0706,0.0974,0.06,0.1111,0.0609,0.0563,0.0648,0.1431,0.1358,0.0615,0.0942,0.0524,0.1042,0.1063,0.0556,0.0789,0.0762,0.0612,0.0866
196310,0.0571,0.0808,0.0749,0.1184,0.1527,0.0581,0.0854,0.0589,0.1126,0.1113,0.0534,0.0535,0.1014,0.0948,0.1457,0.0631,0.0834,0.0402,0.103,0.1148,0.0564,0.0701,0.0971,0.0557,0.0836
196311,0.057,0.0727,0.1418,0.0934,0.1542,0.0846,0.0526,0.0976,0.066,0.1212,0.0508,0.0598,0.0848,0.1134,0.1329,0.06,0.069,0.0565,0.1078,0.1128,0.0492,0.0617,0.0872,0.0944,0.0846
196312,0.0432,0.076,0.099,0.1406,0.1708,0.0742,0.0655,0.0875,0.067,0.0977,0.0458,0.0951,0.0613,0.1257,0.1165,0.0535,0.0728,0.0712,0.0627,0.1765,0.0507,0.0741,0.0513,0.0816,0.1035
196401,0.0325,0.096,0.0952,0.1217,0.1824,0.0631,0.0802,0.0637,0.1081,0.0896,0.0554,0.0789,0.0502,0.1504,0.1473,0.0571,0.0584,0.0886,0.0588,0.1364,0.0466,0.0761,0.0505,0.0704,0.1117
196402,0.0505,0.0973,0.0541,0.12,0.1664,0.0658,0.0537,0.0854,0.0982,0.1034,0.0533,0.0478,0.1505,0.1129,0.1601,0.0587,0.0612,0.0829,0.0653,0.1313,0.0481,0.057,0.0562,0.0872,0.0893
196403,0.0569,0.0842,0.0819,0.0927,0.17,0.0503,0.0625,0.107,0.1035,0.1051,0.0353,0.0757,0.1092,0.1379,0.1326,0.0731,0.0528,0.0993,0.0816,0.102,0.0659,0.0372,0.1017,0.0754,0.086
196404,0.0621,0.0795,0.0543,0.124,0.1665,0.0638,0.0735,0.1559,0.1217,0.0955,0.0567,0.055,0.105,0.0995,0.1839,0.0434,0.0817,0.0839,0.0925,0.1254,0.0695,0.0552,0.0846,0.0625,0.0811
