,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR
196307,1.2021,2.4872,3.9531,5.7239,18.7001,1.1099,1.9719,2.7892,3.9178,8.3242,0.8111,1.4817,2.1313,2.9364,5.9049,0.7187,1.1567,1.5807,2.2158,4.0068,0.4718,0.8197,1.0322,1.4189,2.3449
196308,1.062,2.2316,3.4734,5.4733,19.5379,0.9866,1.8544,2.5729,3.4605,7.4015,0.7553,1.3458,1.9523,2.7669,5.9313,0.6474,1.0933,1.4654,1.9646,3.6274,0.4247,0.7553,0.9954,1.4011,2.3139
196309,0.9963,2.15,3.4608,5.0682,17.2857,0.9232,1.6827,2.4702,3.4286,7.0598,0.7634,1.37,2.0244,2.7476,5.8086,0.616,1.0088,1.4565,1.9551,3.5962,0.3945,0.7775,1.0577,1.375,2.5476
196310,1.0993,2.2834,3.4709,4.9284,18.0363,0.9337,1.7465,2.5144,3.5242,7.5648,0.8171,1.4173,2.0187,2.9815,6.7253,0.5747,1.0051,1.4652,2.1055,3.6853,0.4677,0.7995,0.9999,1.451,2.8733
196311,1.1399,2.2367,3.6547,5.3667,18.4732,0.946,1.8056,2.7081,3.9302,8.5884,0.7797,1.4232,2.2208,3.2035,8.3028,0.6057,1.0521,1.4949,2.1394,4.222,0.494,0.7929,1.0746,1.6603,3.4269
196312,1.1445,2.5405,4.1634,6.7131,22.1452,1.0761,2.0434,2.9644,4.7529,12.9122,0.7754,1.4594,2.4231,4.0814,13.7977,0.6661,1.1882,1.7959,2.9783,8.9197,0.5933,1.0541,1.435,2.4391,6.421
196401,1.1632,2.5224,4.0645,6.6465,22.0361,1.0826,2.1294,3.1977,4.9802,13.8252,0.8331,1.6028,2.4751,4.0898,12.8431,0.6657,1.2277,1.7123,2.6789,7.5403,0.5975,1.0477,1.4357,2.2504,5.1203
196402,1.2848,2.8036,4.5642,6.7486,23.6809,1.2101,2.2465,3.3211,5.2454,14.6532,0.9343,1.7317,2.6129,4.0196,12.5359,0.6692,1.2439,1.8181,2.9273,8.7311,0.6628,1.0908,1.4496,2.1128,5.6075
196403,1.1956,2.5251,3.9998,5.8042,20.797,1.084,1.9574,2.8565,4.1332,10.4579,0.8358,1.5713,2.2399,3.244,7.3645,0.6106,1.0043,1.4233,2.1036,4.5562,0.497,0.8428,1.0783,1.469,3.2396
196404,1.2047,2.5983,4.3424,6.2205,21.4135,1.0749,1.9272,2.9197,4.2617,10.223,0.8174,1.5171,2.1273,3.2239,7.3387,0.6341,1.0204,1.532,2.166,4.2537,0.4932,0.798,1.0413,1.3807,3.1173
196405,1.3161,2.8047,4.2002,6.2829,21.3448,1.0335,2.0354,2.8013,4.1331,9.6788,0.8103,1.4847,2.2408,3.2485,7.1567,0.6706,1.0596,1.4736,2.1776,4.4265,0.4838,0.7569,1.0969,1.5196,3.3769
196406,1.1594,2.568,4.0398,6.2701,20.3667,0.9854,1.9889,2.8133,4.0521,10.7457,0.7701,1.4107,2.2244,3.2366,6.7398,0.6543,1.0947,1.4906,2.1589,4.8083,0.464,0.8227,1.0543,1.4996,3.5408
196407,1.2011,2.4863,3.7848,6.0789,19.3434,0.845,1.7474,2.5497,3.7814,10.5486,0.7546,1.4962,2.2415,3.0671,6.0129,0.6063,0.9954,1.4266,1.9502,4.3538,0.5196,0.7577,1.0255,1.4727,3.749
196408,1.0355,2.2765,3.6422,5.7184,17.8329,0.8479,1.6622,2.437,3.4981,8.3535,0.7497,1.4022,2.0378,2.7016,4.9531,0.573,0.9381,1.3724,1.9499,3.6903,0.4943,0.764,1.0221,1.3244,2.8824
196409,1.0454,2.2031,3.4694,5.3828,17.9883,0.9097,1.6176,2.3241,3.314,7.6094,0.7013,1.2639,1.8756,2.6738,4.9604,0.5634,0.9487,1.316,1.9294,3.6687,0.5384,0.7744,0.9898,1.3088,2.6192
196410,1.071,2.1359,3.4603,5.1089,19.2217,0.8215,1.4998,2.3097,3.4589,8.1978,0.7262,1.235,1.8203,2.6025,5.1846,0.5309,0.9132,1.2568,1.8087,3.6464,0.5005,0.746,0.9998,1.304,2.6791
196411,0.9819,1.9691,3.2325,5.3053,19.2498,0.8715,1.5237,2.3348,3.4855,11.6384,0.6985,1.2104,1.6957,2.4879,4.8375,0.513,0.8741,1.2413,1.8243,3.4416,0.396,0.6775,1.0099,1.3082,2.5953
196412,1.0031,2.0776,3.5259,5.2954,18.4704,0.8281,1.6043,2.4029,3.41,11.6758,0.7855,1.2648,1.7588,2.6067,4.9733,0.5612,0.9142,1.2939,1.9103,3.4825,0.4108,0.7828,1.02,1.2998,2.5037
196501,1.0618,2.0953,3.1751,5.1893,17.8532,0.7517,1.5628,2.2793,3.2801,8.444,0.7496,1.3031,1.8197,2.6979,4.8676,0.594,1.0197,1.4205,1.9416,3.3195,0.4647,0.8238,1.0407,1.3839,2.7516
196502,1.1865,2.2854,3.4654,5.2861,17.5063,0.8041,1.5878,2.2831,3.2976,8.3462,0.8486,1.3755,1.9142,2.5844,4.9741,0.6795,1.1176,1.487,2.1157,3.5254,0.5109,0.8422,1.0712,1.4289,2.7117
196503,1.2043,2.2698,3.7245,5.6854,18.3881,0.8415,1.641,2.3957,3.4114,8.5292,0.7862,1.433,1.9293,2.5437,5.3091,0.6824,1.1316,1.5813,2.0791,3.6932,0.5212,0.765,1.0472,1.3961,2.6859
196504,1.1188,2.373,3.7304,6.1563,20.4623,0.8647,1.6543,2.2881,3.3578,8.7587,0.7774,1.3617,1.8357,2.4915,4.9322,0.6306,1.0206,1.3784,1.8863,3.6095,0.4461,0.7523,0.9651,1.322,2.4272
196505,1.104,2.4285,3.6049,5.6597,19.308,0.8619,1.6776,2.3069,3.3281,8.8695,0.7117,1.2351,1.6952,2.3525,4.9464,0.6094,0.9895,1.3818,1.9454,3.564,0.4067,0.7009,0.8941,1.23,2.331
196506,1.1075,2.3399,3.3998,5.0606,17.309,0.8499,1.5456,2.2706,3.1732,7.6566,0.6155,1.1564,1.6441,2.2664,5.0472,0.5766,0.9527,1.3549,1.7968,3.2392,0.416,0.6828,0.8811,1.2257,2.1891
196507,1.4212,2.9736,4.3112,6.031,17.1684,1.1343,2.1194,3.063,4.3163,9.5191,0.9554,1.6938,2.5149,3.5234,6.8196,0.8312,1.3973,2.0096,2.7895,4.66,0.6203,1.0813,1.3008,1.7676,3.0107
196508,1.4024,2.8647,4.343,6.3991,16.5653,1.152,2.1643,3.1708,4.5121,8.9013,1.0427,1.8232,2.6084,3.8425,7.6512,0.9114,1.4985,2.0899,3.0102,5.243,0.6194,1.1581,1.4375,2.0341,3.4252
196509,1.3106,2.7766,4.4276,6.7763,16.6447,1.0984,2.1042,3.161,4.56,9.2573,1.0118,1.9453,2.7402,3.9638,8.8874,0.8508,1.4218,2.0609,2.9481,5.6802,0.6333,1.0755,1.4848,1.9621,3.4972
196510,1.0647,2.2993,3.6304,6.4159,17.4801,0.8186,1.7016,2.4984,3.9063,8.5773,0.7466,1.4534,2.0233,2.9968,7.5331,0.6504,1.0576,1.5425,2.2922,4.5764,0.4603,0.8183,1.1695,1.7493,3.1444
196511,1.1205,2.5506,4.1669,7.2397,21.8696,0.8872,1.8452,2.8523,4.2401,9.706,0.7441,1.4554,2.1171,3.2803,8.2656,0.6226,1.0204,1.538,2.2917,5.1891,0.4294,0.7494,1.1817,1.687,3.2498
196512,1.0385,2.4674,4.2714,6.9496,23.5171,0.9756,1.9505,3.0805,4.8036,10.7038,0.7884,1.4421,2.2217,3.5125,10.0531,0.6996,1.1819,1.7664,2.6203,6.5438,0.5147,0.8377,1.2015,1.7262,3.6037
196601,1.119,2.773,4.5768,7.9377,26.4047,1.1633,2.2782,3.3596,5.2163,11.4581,0.8174,1.6578,2.4506,3.6854,12.0363,0.776,1.3134,1.9453,2.969,8.4421,0.6494,0.8746,1.3266,1.9391,3.8291
196602,1.2255,2.7526,4.3279,7.2277,25.8163,1.1734,2.3167,3.5867,5.4886,11.7235,0.9396,1.6309,2.4502,3.7547,11.3697,0.8512,1.3724,1.912,3.0261,8.2554,0.6799,0.9748,1.3841,1.9882,3.6613
196603,1.2257,2.7282,4.6168,7.7434,24.2925,1.2262,2.4831,3.7019,5.3766,14.5039,1.0695,1.8573,2.6134,3.9224,10.2193,0.934,1.4889,2.1053,3.1207,7.521,0.7526,1.0846,1.5139,2.1908,4.204
196604,1.244,2.6401,4.309,7.0515,22.0103,1.1403,2.2923,3.5269,5.1736,13.515,1.0791,1.8627,2.8245,4.0141,9.0145,0.9862,1.5322,2.1416,3.2665,7.9897,0.7669,1.2508,1.5922,2.3102,4.9582
196605,1.1684,2.6913,4.5415,7.0897,20.4962,1.2486,2.3356,3.5857,5.495,14.1305,1.0038,1.8758,2.9622,4.2896,10.8325,1.0446,1.6446,2.2952,3.4819,8.9202,0.8225,1.2968,1.6891,2.433,5.1854
196606,1.3093,2.9417,4.6425,7.7586,20.687,1.3468,2.4697,3.9125,6.2938,15.1729,1.0752,2.0245,3.2213,5.2055,13.3788,1.091,1.9128,2.7542,4.2251,11.514,0.9109,1.3694,1.8883,2.8707,7.1626
196607,1.2793,2.8611,4.5752,7.3526,18.5784,1.3325,2.5406,4.1423,6.7907,13.7154,1.0069,1.9432,2.9966,4.9494,12.8406,1.0225,1.6704,2.5235,3.7986,10.0378,0.8413,1.1974,1.867,2.67,7.3359
196608,1.2388,2.5637,4.0122,6.6035,16.0537,1.3042,2.5249,3.9724,6.7832,13.2776,0.9915,1.9313,2.9823,4.9528,10.0742,1.0769,1.67,2.5196,3.7958,9.0227,0.8556,1.2863,1.8914,2.9293,7.4313
196609,1.3848,2.9049,4.6612,7.1316,17.1633,1.3507,2.5209,3.9815,6.63,13.4616,1.1979,2.2167,3.2667,4.9115,9.8041,1.1951,1.9718,2.7941,4.1179,9.2937,1.0662,1.635,2.2409,3.4891,7.4747
196610,1.4658,3.0732,4.9694,7.761,18.1544,1.4508,2.6772,4.1624,6.4894,12.7429,1.298,2.2814,3.3271,4.8031,9.3363,1.3003,2.2484,3.2297,4.4426,9.5596,1.197,1.9113,2.5883,3.8051,7.6994
196611,1.6812,3.5392,5.7106,9.1524,20.6099,1.7053,3.1734,4.7797,7.6628,15.9553,1.5453,2.7302,4.1178,6.2999,13.1705,1.5911,2.8018,3.9506,5.5755,11.5757,1.5025,2.3873,3.2614,4.4707,9.8154
196612,1.409,3.1108,5.1555,9.1013,23.127,1.4488,2.8278,4.3715,7.348,14.3102,1.2773,2.3261,3.7227,6.0068,13.4866,1.5257,2.51,3.5947,5.2764,11.1296,1.4064,2.1404,2.8103,3.9217,8.5333
196701,1.3805,3.1687,5.5097,9.5816,25.2201,1.5358,2.8248,4.5617,7.2783,14.7035,1.2832,2.4223,3.7093,5.8387,12.3724,1.4556,2.3728,3.2174,5.0854,11.5138,1.1626,1.8402,2.4092,3.6534,7.0914
196702,1.7433,3.4713,5.5322,9.639,26.138,1.6,3.0664,4.801,7.6054,14.2175,1.3946,2.3833,3.3927,5.1006,10.4188,1.2627,2.1431,2.9722,4.2987,9.4449,1.0496,1.5528,2.1601,2.9935,5.2304
196703,1.8247,3.8583,6.1838,9.7709,25.9544,1.718,3.3318,4.7932,7.1633,13.9384,1.4262,2.4598,3.3888,5.0104,9.9919,1.1642,1.999,2.825,3.9932,9.1709,0.9587,1.5014,2.0656,2.8065,4.3821
196704,1.7706,3.5507,5.9423,9.0506,22.5736,1.6154,3.2441,4.9703,7.2651,12.7493,1.3858,2.4995,3.7232,5.0698,9.9159,1.1803,1.8792,2.6972,3.8589,8.3276,0.9432,1.492,1.9644,2.6443,4.4301
196705,1.446,3.0443,5.2486,8.3896,20.0466,1.4273,2.9492,4.3732,6.7703,12.3785,1.1621,2.2474,3.4588,4.8587,8.9777,0.9952,1.6623,2.5227,3.7681,7.5596,0.9399,1.3226,1.7734,2.584,4.4004
