Time,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR,RF
196307,-0.5888,0.6558,-0.0337,0.6829,-1.3279,0.0122,-0.4454,-3.1216,-0.2104,-2.3435,-1.0039,-1.1566,-0.8022,-1.725,-3.4827,-0.572,-1.4428,-1.1296,-2.2708,-1.5534,0.2851,0.3102,0.335,0.0465,-0.1489,0.27
196308,2.5495,2.3702,4.506,3.5058,2.3219,2.2879,4.6999,4.975,7.123,5.7524,3.4131,4.871,6.3726,5.1399,6.9176,3.9008,4.7001,5.6713,6.071,7.9377,4.5715,4.5492,5.265,7.1936,7.5366,0.25
196309,0.4776,0.0376,-0.4166,-2.5683,-1.1088,0.0814,-1.2369,-2.0953,-2.4431,-2.8059,0.5848,-0.2025,-3.3968,-3.7387,-2.891,-0.3989,-2.0624,-1.5801,-3.1984,-3.7186,-0.4529,-1.342,-1.0505,-1.6891,-1.9472,0.27
196310,0.7414,1.6433,2.5939,0.8338,-0.7794,0.8555,2.2283,2.5713,2.7697,3.3373,0.3414,-0.1157,2.7921,1.2523,3.7969,-0.5389,1.3936,-0.055,2.0822,2.4463,1.7185,2.4566,6.8018,3.4914,3.5638,0.29
196311,-0.9365,-0.0306,-0.3429,-1.9281,-3.7918,-0.5815,0.0469,-0.3283,-1.1871,-3.7473,-1.8225,-1.1891,-1.7958,-0.9431,-2.0014,0.0612,-0.7966,-0.9913,0.339,-0.3377,1.9135,-0.3432,-1.1832,-4.107,-0.1306,0.27
196312,0.2752,0.8326,0.1097,-1.8156,-4.4803,-0.0258,1.3862,1.9533,0.803,-0.3343,1.8241,1.2842,0.5643,2.1743,-1.8505,3.2972,1.4229,0.5894,1.123,1.5786,2.9927,3.3677,3.5948,1.5242,0.5049,0.29
196401,3.4573,4.422,3.8152,2.9724,4.5265,3.249,3.1408,2.5338,3.1491,0.2395,2.2537,2.9777,1.4497,1.5126,-3.2306,0.9417,0.3536,2.1003,1.73,1.8029,1.3158,2.7217,4.5404,2.7313,1.4593,0.3
196402,2.934,0.9746,2.8092,3.3044,2.5591,3.3205,1.6832,3.3552,3.2724,3.1247,1.84,2.6081,2.1507,4.5871,1.0737,1.2468,1.4455,2.4081,4.3832,4.4622,0.8178,2.4776,2.5063,0.7705,1.7444,0.26
196403,1.9678,3.499,3.3416,4.1576,1.4706,2.4801,5.2172,5.4608,3.6356,0.8423,2.3004,3.7274,2.8053,2.7381,3.4895,3.5244,3.1678,1.6568,3.3569,3.6247,0.7228,1.1736,1.3968,2.9603,1.2836,0.31
196404,0.7742,1.0029,-0.223,-1.6701,-1.3748,1.1462,0.5037,0.4987,-0.544,-2.4414,1.056,-0.2629,0.7294,-1.709,-4.5104,0.5813,0.6601,-0.234,-1.9009,0.1419,2.0292,-0.2274,1.5045,-2.0322,-1.173,0.29
